,importance
battery_per_footprint,27.250219068766977
battery_capacity_kWh,18.235259748120072
car_body_type,8.898756435258615
segment,6.87686648516234
height_mm,6.419766192484144
fast_charging_power_kw_dc,5.4523685058784155
cargo_volume_l,3.5962016928552067
length_mm,3.148795449543265
width_mm,2.299946300376923
battery_per_torque,2.1448783505363176
drivetrain,2.0175795959772986
performance_index,1.9506571484993191
top_speed_kmh,1.9088842685124676
number_of_cells,1.616592835338134
acceleration_0_100_s,1.4360263900085806
footprint_m2,1.301024614778166
fast_charge_port,1.2648668885093026
seats,1.2107654311072644
torque_nm,1.199474837912756
volume_proxy_m3,0.8961004808680688
towing_capacity_kg,0.6510142442729343
brand,0.22395503523349833
